| RU | GE | TGE | EN | TEN | Content |
| Поезд останавливается часто | მატარებელი ხშირად ჩერდებრდა | mat'arebeli khshirad cherdebrda | The train stops often | - | Правила связь между подлежащим и сказуемым. ...ებრდა |
| Солнце восходит | მზე ამოდის | mze amodis | The sun rises | - | Правила связь между подлежащим и сказуемым. ...დის |
| Солнце взошло | მზე ამოვიდა | mze amovida | The sun rose | - | Правила связь между подлежащим и сказуемым. ...ვიდა |
| Солнце заходит | მზე ჩადის | mze chadis | The sun sets | - | Правила связь между подлежащим и сказуемым. ...დის |
| Солнце зашло | მზე ჩავიდა | mze chavida | The sun set | - | Правила связь между подлежащим и сказуемым. ...ვიდა |
| Товарищ напишет мне письмо | ამხანაგი წერილს მომწერს | amkhanagi ts'erils momts'ers | Comrade will write me a letter | - | Правила связь между подлежащим и сказуемым. |
| Товарищ написал мне письмо | ამხანაგმა წერილი მომწერა | amkhanagma ts'erili momts'era | Comrade wrote me a letter | - | Правила связь между подлежащим и сказуемым. |
| Товарищ, оказывается, написал мне письмо | ამხანაგმა წერილი მოუწერია | amkhanagma ts'erili mouts'eria | Comrade, it turns out, wrote me a letter | - | Правила связь между подлежащим и сказуемым. |
| Он говорит, что | ის ამბობს, რომ | is ambobs, rom | He says that | - | Правила связь между подлежащим и сказуемым. |
| Он сказал, что | მან თქვა, რომ | man tkva, rom | He said that | - | Правила связь между подлежащим и сказуемым. |
| Он, оказывается, сказал, что | მას უთქვამს, რომ | mas utkvams, rom | He, it turns out, said that | - | Правила связь между подлежащим и сказуемым. |
| Дело сделано | საქმე გაკეთებულია | sakme gak'etebulia | It's done | - | Правила связь между подлежащим и сказуемым. Настоящее время |
| Касса закрыта | სალარო დახურულია | salaro dakhurulia | The cash register is closed | - | Правила связь между подлежащим и сказуемым. Настоящее время |
| Мой брат инженер | ჩემი ძმა ინჟინერია | chemi dzma inzhineria | My brother is an engineer | - | Правила связь между подлежащим и сказуемым. Настоящее время |
| Эта книга твоя | ეს შენი წიგნია | es sheni ts'ignia | This book is yours | - | Правила связь между подлежащим и сказуемым. Настоящее время |
| Дело было сделано | საქმე გაკეთებული იყო | sakme gak'etebuli iq'o | The deed was done | - | Правила связь между подлежащим и сказуемым. Прошедшее время |
| Касса была закрыта | სალარო დახურული იყო | salaro dakhuruli iq'o | The cash register was closed | - | Правила связь между подлежащим и сказуемым. Прошедшее время |
| Мой брат был инженером | ჩემი ძმა ინჟინერი იყო | chemi dzma inzhineri iq'o | My brother was an engineer | - | Правила связь между подлежащим и сказуемым. Прошедшее время |
| Эта книга была твоей | ეს შენი წიგნი იყო | es sheni ts'igni iq'o | This book was yours | - | Правила связь между подлежащим и сказуемым. Прошедшее время |
| Дело будет сделано | საქმე გაკეთბული იქნება | sakme gak'etbuli ikneba | The deed will be done | - | Правила связь между подлежащим и сказуемым. Будущее время |
| Касса будет закрыта | სალარო დახურული იქნება | salaro dakhuruli ikneba | The cash register will be closed | - | Правила связь между подлежащим и сказуемым. Будущее время |
| Мой брат будет инженером | ჩემი ძმა ინჟინერი იქნება | chemi dzma inzhineri ikneba | My brother will be an engineer | - | Правила связь между подлежащим и сказуемым. Будущее время |
| Эта книга будет твоей | ეს წიგნი შენი იქნება | es ts'igni sheni ikneba | This book will be yours | - | Правила связь между подлежащим и сказуемым. Будущее время |
| Широкой улицей | განირი ქუჩით | ganiri kuchit | Wide street | - | Правила Согласование определения с определяемым. |
| Широкими улицами | განირი ქუჩებით | ganiri kuchebit | Wide streets | - | Правила Согласование определения с определяемым. |
| На зеленом листе | მწვანე ფოთოლზე | mts'vane potolze | On a green leaf | - | Правила Согласование определения с определяемым. |
| На зеленых листьях | მწვანე ფოთლებზე | mts'vane potlebze | On green leaves | - | Правила Согласование определения с определяемым. |
| У моего друга | ჩემი მეგობართან | chemi megobartan | At my friend's | - | Правила Согласование определения с определяемым. |
| У моих друзей | ჩემს მეგობრებთან | chems megobrebtan | At my friends | - | Правила Согласование определения с определяемым. |
| В деревяном доме | ხის სახლში | khis sakhlshi | In a wooden house | - | Правила Согласование определения с определяемым. |
| В деревянных домах | ხის სახლებში | khis sakhlebshi | In wooden houses | - | Правила Согласование определения с определяемым. |
| Где памятник Грибоедову? | სად არის გრიბოედოვის ძეგლი? | sad aris griboedovis dzegli? | Where is the monument to Griboyedov? | - | Беседа Туризм |
| У меня есть деньги | ფული მაქვს | puli makvs | I have money | - | Беседа Магазин |
| Здесь есть красивый цветок | აქ ლამაზი ყკაკილია. | ak lamazi q’k’ak’ilia | There is a beautiful flower here | - | Беседа Магазин |
| Где твои родители? | თქვენ მშობლები სადა გყავთ? | tkven mshoblebi sada gq'avt? | Where are your parents? | - | Беседа Знакомства |
| У меня здесь много знакомых | აქ ბევრი ნაცნობი მყავს | ak bevri natsnobi mq'avs | I have many friends here | - | Беседа Знакомства |
| У меня здесь нет знакомых | აქ ნაცნობი არ მყავს | ak natsnobi ar mq'avs | I don’t have any friends here | - | Беседа Знакомства |
| У меня есть кто-то | მე მყავს ვიღაც | me mq'avs vighats | I have someone | - | Беседа Знакомства |
| У меня есть ты | მე მყავხარ შენ | me mq'avkhar shen | I have you | - | Беседа Знакомства |
| Девочка вошла в комнату | გოგონა ოთახში შევიდა | gogona otakhshi shevida | The girl entered the room | - | Беседа Дом |
| Я поехал в гости | სტუმრად წავედი | st'umrad ts'avedi | I went to visit | - | Беседа Туризм |
| Я пошел в гости | სტუმრად წავედი | st'umrad ts'avedi | I went to visit | - | Беседа Туризм |
| Мать увезла ребенка | დედამ ბავშვი წაიყვანა | dedam bavshvi ts'aiq'vana | The mother took the child away | - | Беседа Семья |
| Мать увела ребенка | დედამ ბავშვი წაიყვანა | dedam bavshvi ts'aiq'vana | The mother took the child away | - | Беседа Семья |
| Фрукты везут в специальных вагонах | ხილი სპეციალურ ვაგონებში მიაქვთ | khili sp'etsialur vagonebshi miakvt | Fruits are transported in special wagons | - | Беседа Магазин |
| Детей везут на курорт | ბავშვები კურორტზე მიჰყავთ | bavshvebi k'urort'ze mihq'avt | Children are being taken to the resort | - | Беседа Туризм |
| Я испугался | მე შემეშინდა | me shemeshinda | I was scared | - | Беседа Действие |
| Поручение товарищей я с удовольствием выполняю | თანაგუნდელების დავალებას სიამოვნებით შევასრულებ | tanagundelebis davalebas siamovnebit shevasruleb | I am happy to carry out my comrades' orders | - | Беседа Работа |
| Ваше поручение я с удовольствием выполню | თქვენი დავალება სიამოვნებით შევასრულებ | tkveni davaleba siamovnebit shevasruleb | I will carry out your orders with pleasure | - | Беседа Работа |
| Это дело я охотно делаю | ეს საქმე მე სიამოვნებით გავაკეთე | es sakme me siamovnebit gavak'ete | I am happy to do this | - | Беседа Работа |
| Это дело я охотно сделаю | ეს საქმე სიამოვნებით გავაკეთებ | es sakme siamovnebit gavak'eteb | I am happy to do this | - | Беседа Работа |
| Об этом долго думал мой друг и вот что придумал | ჩემი მეგობარი დიდხანს ფიქრობდა ამაზე და აი რა მოუვიდა | chemi megobari didkhans pikrobda amaze da ai ra mouvida | My friend thought about this for a long time and this is what I came up with | - | Беседа Работа |
| Встреча с вами для меня остается приятным воспоминанием и всегда таким останется | თქვენთან შეხვედრა ჩემთვის სასიამოვნო მოგონებაა და ყოველთვის ასე იქნება | tkventan shekhvedra chemtvis sasiamovno mogonebaa da q'oveltvis ase ikneba | Meeting you remains a pleasant memory for me and will always remain so | - | Беседа Знакомства |
| Эти слова я сегодня третий раз повторяю и, видимо, еще много раз повторю | ეს უკვე მესამედ ვამბობ დღეს და ალბათ კიდევ ბევრჯერ ვიტყვი | es uk've mesamed vambob dghes da albat k'idev bevrjer vit'q'vi | I am repeating these words for the third time today and, apparently, I will repeat them many more times | - | Беседа Работа |
| Птица летает в небе | ჩიტი ცაში დაფრინავს | chit'i tsashi daprinavs | A bird flies in the sky | - | Беседа Природа |
| Самолет летит в Москву | თვითმფრინავი მოსკოვში მიფრინავს | tvitmprinavi mosk'ovshi miprinavs | An airplane flies to Moscow | - | Беседа Туризм |
| Ребенок бегает во дворе | ბავშვი გარბის ეზოში | bavshvi garbis ezoshi | A child runs in the yard | - | Беседа Семья |
| Ребенок бежит к матери | ბავშვი დედასთან მირბის | bavshvi dedastan mirbis | A child runs to his mother | - | Беседа Семья |
| Очки ношу с собой | ჩემი სათვალეები მაქვს | chemi satvaleebi makvs | I carry my glasses with me | - | Беседа Одежда |
| Мать водит ребенка в детский сад | დედა ბავშვს საბავშვო ბაღში მიჰყავს | deda bavshvs sabavshvo baghshi mihq'avs | A mother takes her child to kindergarten | - | Беседа Семья |
| Утром уезжаю в семь часов | დილით 7 საათზე მივდივარ | dilit 7 saatze mivdivar | I leave at seven o'clock in the morning | - | Беседа Работа |
| Футболист забросил мяч | ფეხბურთელმა ბურთი კარში შეაგდო | pekhburtelma burti k'arshi sheagdo | The football player threw the ball | - | Беседа Действие |
| Баскетболист бросил мяч в корзину | კალათბურთელმა ბურთი კალათში ჩააგდო | k'alatburtelma burti k'alatshi chaagdo | The basketball player threw the ball into the basket | - | Беседа Действие |
| Он переписал контракт | ამხანაგმა კონსპე ქტი გადაიწერა | amkhanagma k'onsp'e kt'i gadaits'era | He rewrote the contract | - | Беседа Работа |
| Это запись, которую он вычеркнул из журнала | ეს ცნობები მან ჟურნალიდან ამოიწერა | es tsnobebi man zhurnalidan amoits'era | This is the entry he crossed out from the journal | - | Беседа Работа |
| Сестра написала письмо своему брату | დამ ძმას წერილი მისწერა | dam dzmas ts'erili mists'era | Mom wrote a letter to my brother | - | Беседа Семья |
| Ты послезавтра пойдешь? | ზეგ მიდიხარ? | zeg midikhar? | Are you going the day after tomorrow? | - | Беседа Работа |
| Вы знаете этого человека? | იცნობ ამ კაცს? | itsnob am k'atss? | Do you know this man? | - | Беседа Знакомства |
| Когда ты получил письмо? | როდის მიიღე ეს წერილი? | rodis miighe es ts'erili? | When did you receive the letter? | - | Беседа Работа |
| Где вы отдыхали этим летом? | სად გაატარეთ ზაფხული? | sad gaat'aret zapkhuli? | Where did you go on holiday this summer? | - | Беседа Туризм |
| Кто вам это сказал? | ვინ გითხრა ეს? | vin gitkhra es? | Who told you this? | - | Беседа Работа |
| Нет ли у Вас спичек? | თქვენ არ გაქვთ სანთლები? | tkven ar gakvt santlebi? | Do you have any matches? | - | Беседа Знакомства |
| Не скажите ли, который час? | გითხრათ, რომელი საათია? | gitkhrat, romeli saatia? | Could you tell me what time it is? | - | Беседа Сколько время |
| Простите, но не знаю - у меня нет часов | უკაცრავად, მაგრამ არ ვიცი. საათი არ მაქვს | uk'atsravad, magram ar vitsi. saati ar makvs | Sorry, but I don’t know - I don’t have a watch | - | Беседа Сколько время |
| Скажет мой друг | ჩემი მეგობარი იტყვის | chemi megobari it'q'vis | My friend will say | - | Беседа Сколько время |
| Теперь половина третьего | ახლა ნახევარი საათია | akhla nakhevari saatia | It's half past two now | - | Беседа Сколько время |
| Спасибо | გმადლობ | gmadlob | Thank you | - | Беседа Сколько время |
| Пожалуйста | გთხოვთ | gtkhovt | Please | - | Беседа Сколько время |
| Который теперь час? | რომელი საათია ახლა? | romeli saatia akhla? | What time is it now? | - | Беседа Сколько время |
| пока рано | ჯერ ადრეა | jer adrea | It's too early | - | Беседа Сколько время |
| Уже поздно | უკვე გვიანია | uk've gviania | It's already late | - | Беседа Сколько время |
| Какой месяц сегодня? | დღეს რომელი თვეა? | dghes romeli tvea? | What month is it today? | - | Беседа Сколько время |
| Сегодня июль | დღეს ივლისია | dghes ivlisia | Today is July | - | Беседа Сколько время |
| Какой день сегодня? | დღეს რომელი დღეა? | dghes romeli dghea? | What day is it today? | - | Беседа Сколько время |
| Сегодня воскресенье | დღეს კვირაა | dghes k'viraa | Today is Sunday | - | Беседа Сколько время |
| Какое число сегодня? | დღეს რომელი რიცხვია? | dghes romeli ritskhvia? | What date is it today? | - | Беседа Сколько время |
| Сегодня двадцать третье число | დღეს 23 რიცხვია | dghes 23 ritskhvia | Today is the twenty-third | - | Беседа Сколько время |
| У вас есть новая газета? | ახალი გაზეთი გაქვთ? | akhali gazeti gakvt? | Do you have a new newspaper? | - | Беседа Есть газета? |
| У меня его пока нет | ჯერ არა მაქვს | jer ara makvs | I don’t have it yet | - | Беседа Есть газета? |
| Когда у вас будет? | როდის გექნებათ? | rodis geknebat? | When will you have it? | - | Беседа Есть газета? |
| Через полчаса будет у меня | მექნება ნახევარ საათში | mekneba nakhevar saatshi | He'll be with me in half an hour | - | Беседа Есть газета? |
| Это новая газета | ეს ახალი გაზეთია | es akhali gazetia | This is a new newspaper | - | Беседа Есть газета? |
| Вчера я просил книгу | გუშინ წიგნი ვითხოვე | gushin ts'igni vitkhove | Yesterday I asked for a book | - | Беседа Есть книга? |
| Она есть? | ის აქ არის? | is ak aris? | Is she there? | - | Беседа Есть книга? |
| Есть, но на руках | კი, მაგრამ ხელებზე | k'i, magram khelebze | Yes, but in my hands | - | Беседа Есть книга? |
| Мы уже попросили и принесут | ჩვენ უკვე ვთხოვეთ და მოგიტანენ | chven uk've vtkhovet da mogit'anen | We already asked and they will bring it | - | Беседа Есть книга? |
| Скоро это будет? | მალე იქნება? | male ikneba? | Will it be soon? | - | Беседа Есть книга? |
| Не бойтесь | ნუ გეშინია | nu geshinia | Don't be afraid | - | Беседа Есть книга? |
| Скоро принесут | მალე მოგიტანენ | male mogit'anen | They'll bring it soon | - | Беседа Есть книга? |
| Садитесь, работайте | დაჯექით და იმუშავეთ | dajekit da imushavet | Sit down and work | - | Беседа Есть книга? |
| Как только принесут, скажем | როგორც კი მოგიტანენ, მაშინ გეტყვით | rogorts k'i mogit'anen, mashin get'q'vit | As soon as they bring it, we'll tell you | - | Беседа Есть книга? |
| Вчера вечером я пришел к вам, а вас не было | გუშინ საღამოს შენთან მოვედი და შენ არ იყავი | gushin saghamos shentan movedi da shen ar iq'avi | Last night I came to see you, but you weren’t there | - | Беседа Где вы были? |
| Где вы были вчера? | სად იყავი გუშინ? | sad iq'avi gushin? | Where were you yesterday? | - | Беседа Где вы были? |
| Мы вчера вечером пошли в парк | გუშინ საღამოს პარკებში ვიყავით | gushin saghamos p'ark'ebshi viq'avit | We went to park last night | - | Беседа Где вы были? |
| Там была хорошая концертная программа | კარგი კონცერტები იყო | k'argi k'ontsert'ebi iq'o | There was a good concert program there | - | Беседа Где вы были? |
| Вечер провели приятно и весело | სასიამოვნო და სახალისო საღამო გავატარეთ | sasiamovno da sakhaliso saghamo gavat'aret | The evening was pleasant and fun | - | Беседа Где вы были? |
| Поэтому сегодня так хорошо работаем | ამიტომაცაა, რომ დღეს ასე კარგად ვმუშაობთ | amit'omatsaa, rom dghes ase k'argad vmushaobt | That’s why we’re working so well today | - | Беседа Где вы были? |
| вчера мы были в кино | გუშინ კინოში წავედით | gushin k'inoshi ts'avedit | yesterday we went to the cinema | - | Беседа Где вы были? |
| Что смотрели? | რას უყურე? | ras uq'ure? | What did you watch? | - | Беседа Где вы были? |
| Мы смотрели новый фильм | ახალ ფილმს ვუყურეთ | akhal pilms vuq'uret | We watched a new film | - | Беседа Где вы были? |
| Где вы будете завтра? | სად იქნები ხვალ? | sad iknebi khval? | Where will you be tomorrow? | - | Беседа Где вы были? |
| Завтра мы пойдем в музей | ხვალ მუზეუმში წავალთ | khval muzeumshi ts'avalt | Tomorrow we will go to the museum | - | Беседа Где вы были? |
| Уже побывали на Мтацминда | მთაწმინდაზე უკვე ვესტუმრეთ | mtats'mindaze uk've vest'umret | We have already visited Mtatsminda | - | Беседа Где вы были? |
| Удивительно красиво это место | ეს ადგილი საოცრად ლამაზია | es adgili saotsrad lamazia | This place is amazingly beautiful | - | Беседа Где вы были? |
| Сегодня хорошая погода | დღეს კარგი ამინდია | dghes k'argi amindia | The weather is good today | - | Беседа Где вы были? |
| Сегодня город осмотрим | დღეს ქალაქს შევისწავლით | dghes kalaks shevists'avlit | We'll explore the city today | - | Беседа Где вы были? |
| А вечером во Дворец спорта хотим пойти | საღამოს კი სპორტის სასახლეში წასვლა გვინდა |  saghamos k'i sp'ort'is sasakhleshi ts'asvla gvinda | And in the evening we want to go to the Sports Palace | - | Беседа Где вы были? |
| Говорят, хорошая программа |  ისინი ამბობენ, რომ ეს კარგი პროგრამაა |  isini amboben, rom es k'argi program | They say it's a good program | - | Беседа Где вы были? |
| Вчера у меня в этом городе не было знакомых | მე ამ ქაალაქში გუშინ ნაცნობიც არა მყავდა | me am kaalakshi gushin natsnobits ara mq'avda | Yesterday I had no acquaintances in this city | - | Беседа Где вы были? |
| Сегодня у меня уже есть два товарища | დღეს უკვე ორი ამხანაგი მყავს | dghes uk've ori amkhanagi mq'avs | Today I already have two comrades | - | Беседа Где вы были? |
| И завтра у меня тоже будут друзья | ხვალ კი მეგობრებიც მეყოლება | khval k'i megobrebits meq'oleba | And tomorrow I will have friends too | - | Беседа Где вы были? |
| Как самочувствие? | როგორ გრძნობ თავს? | rogor grdznob tavs? | How are you feeling? | - | Беседа Работа |
| Сегодня у меня много дел | დღეს ბევრი საქმე მაქვს | dghes bevri sakme makvs | Today I have a lot to do | - | Беседа Работа |
| Сегодня у меня совсем нет дела | დღეს აბსოლუტურად არაფერი მაქვს გასაკეთებელი | dghes absolut'urad araperi makvs gasak'etebeli | Today I have absolutely nothing to do | - | Беседа Работа |
| Я его заставляю работать | მე მას ვამუშავებ | me mas vamushaveb | I make him work | - | Беседа Работа |
| Он заставляет меня работать | ის მამუშავებს | is mamushavebs | He makes me work | - | Беседа Работа |
| Сколько дней провели в Грузии? | რამდენი დღე გაატარეთ საქართველოში? | ramdeni dghe gaat'aret sakartveloshi? | How many days did you spend in Georgia? | - | Беседа Туризм |
| Где вы провели 20 дней?  | სად გაატარეთ 20 დღე? | sad gaat'aret 20 dghe? | Where did you spend 20 days? | - | Беседа Туризм |
| Я провел 20 дней в Кутаиси | 20 დღე ქუთაისში გავატარე | 20 dghe kutaisshi gavat'are | I spent 20 days in Kutaisi | - | Беседа Туризм |
| Какова природа Сибири? | როგორია ციმბირში ბუნება? | rogoria tsimbirshi buneba? | What is the nature of Siberia? | - | Беседа Туризм |
| Сибирь суровый но красивый край | ციმბირი მკაცრი, მაგრამ ლამაზი მიწაა | tsimbiri mk'atsri, magram lamazi mits'aa | Siberia is a harsh but beautiful land | - | Беседа Туризм |
| Что вам понравилось в Грузии? | რა მოგეწონა საქართველოში? | ra mogets'ona sakartveloshi? | What did you like in Georgia? | - | Беседа Туризм |
| Мне понравился пляж в Батуми | ბათუმში პლაჟი მომეწონა | batumshi p'lazhi momets'ona | I liked the beach in Batumi | - | Беседа Туризм |
| Где живете? | სად ცხოვრობთ? | sad tskhovrobt? | Where do you live? | - | Беседа Туризм |
| Я живу в Иркутске | მე ვცხოვრობ ირკუტსკში | vtskhovrob irk'ut'sk'shi | I live in Irkutsk | - | Беседа Туризм |
| Где работаете? | სად მუშაობთ? | sad mushaobt? | Where do you work? | - | Беседа Работа |
| Работаю в компании Т2 | მე ვმუშაობ T2 კომპანიაში | me vmushaob T2 k'omp'aniashi | I work at T2 company | - | Беседа Работа |
| Какие языки знаете? | რომელ ენებზე საუბრობთ? | romel enebze saubrobt? | What languages do you know? | - | Беседа Работа |
| Я хорошо знаю русский и английский языки | რუსული და ინგლისური კარგად ვიცი | rusuli da inglisuri k'argad vitsi | I know Russian and English well | - | Беседа Работа |
| Какой язык изучаете? | რომელ ენას სწავლობთ? | romel enas sts'avlobt? | What language are you studying? | - | Беседа Работа |
| Я изучаю Грузинский язык | ქართულ ენას ვსწავლობ | kartul enas vsts'avlob | I am learning the Georgian language | - | Беседа Работа |
| Кто у вас дома? | ვინ არის სახლში? | vin aris sakhlshi? | Who is at your house? | - | Беседа Семья |
| Меня дома ждут родсвенники | სახლში ნათესავები მელოდებიან | sakhlshi natesavebi melodebian | - | - | Беседа Семья |
| Как ваша фамилия? | თქვენი გვარი? | tkveni gvari? | What's your last name? | - | Беседа Знакомства |
| Как ваше имя? | თქვენი სახელი? | tkveni sakheli? | What's your name? | - | Беседа Знакомства |
| Меня зовут Давид | ჩემი სახელია დავითი | chemi sakhelia daviti | My name is David | - | Беседа Знакомства |
| Сколько вам лет? | რამდენი წლის ხართ? | ramdeni ts'lis khart? | How old are you? | - | Беседа Знакомства |
| Мне 30 лет | მე 30 წლის ვარ | me 30 ts'lis var | I'm 30 years old | - | Беседа Знакомства |
| Чья эта сумка? | ვისი ჩანთაა ეს? | visi chantaa es? | Whose bag is this? | - | Беседа Туризм |
| Эта сумка не моя | ეს ჩანთა ჩემი არ არის | es chanta chemi ar aris | This bag is not mine | - | Беседа Туризм |
| какова эта книга | როგორია ეს წიგნი? | rogoria es ts'igni? | what is this book like? | - | Беседа Работа |
| Эта книга очень интересная | ეს წიგნი ძალიან საინტერესოა | es ts'igni dzalian saint'eresoa | This book is very interesting | - | Беседа Работа |
| Изучение чего вы начали? | რის შესწავლა დაიწყე? | ris shests'avla daits'q'e? | What did you start studying? | - | Беседа Работа |
| Я начал изучать с книги | წიგნიდან დავიწყე სწავლა | ts'ignidan davits'q'e sts'avla | I started studying from a book | - | Беседа Работа |
| С чьей помощью изучаете грузинский язык? | ვისი დახმარებით სწავლობთ ქართულ ენას? | visi dakhmarebit sts'avlobt kartul enas? | With whose help are you learning the Georgian language? | - | Беседа Работа |
| Я изучаю грузинский язык с помощью книги | ქართულ ენას წიგნის დახმარებით ვსწავლობ | kartul enas ts'ignis dakhmarebit vsts'avlob | I am learning Georgian with the help of a book | - | Беседа Работа |
| Прощайте | მშვიდობით | mshvidobit | Bye | - | Беседа Работа |
| Будьте здоровы! | იყავი ჯანმრთელი! | iq'avi janmrteli! | Be healthy! | - | Беседа Работа |
| кто вы? | ვინ ხარ შენ? | vin khar shen? | who are you? | - | Беседа Знакомства |
| Я студент | მე სტუდენტი ვარ | me st'udent'i var | I am a student | - | Беседа Знакомства |
| Откуда вы? | საიდან ხარ? | saidan khar? | Where are you from? | - | Беседа Знакомства |
| Я из Иркутска | მე ირკუტსკიდან ვარ | me irk'ut'sk'idan var | I'm from Irkutsk | - | Беседа Знакомства |
| Что вы делаете? | რას აკეთებ? | ras ak'eteb? | What are you doing? | - | Беседа Знакомства |
| Я много работаю и учусь | ბევრს ვმუშაობ და ვსწავლობ | bevrs vmushaob da vsts'avlob | I work and study a lot | - | Беседа Знакомства |
| Я теперь хорошее дело делаю | ახლა კარგ საქმეს ვაკეთებ | akhla k'arg sakmes vak'eteb | I am doing a good job now | - | Беседа Знакомства |
| Я уже читаю и пишу по-грузински | უკვე შემიძლია ქართულად წაკითხვა და წერა | uk've shemidzlia kartulad ts'ak'itkhva da ts'era | I can already read and write in Georgian | - | Беседа Знакомства |
| Грузинский язык красивый | ქართული ენა ლამაზია | kartuli ena lamazia | The Georgian language is beautiful | - | Беседа Знакомства |
| Только некоторых звуков произношение пока еще трудно мне, но и это смогу | მხოლოდ რამდენიმე ბგერის წარმოთქმა ჩემთვის ჯერ კიდევ რთულია, მაგრამ მეც შემიძლია ამის გაკეთება | mkholod ramdenime bgeris ts'armotkma chemtvis jer k'idev rtulia, magram mets shemidzlia amis gak'eteba | Only some sounds are still difficult for me to pronounce, but I can do that too | - | Беседа Знакомства |
| Это интересное и полезное дело | ეს არის საინტერესო და სასარგებლო ბიზნესი | es aris saint'ereso da sasargeblo biznesi | This is an interesting and useful business | - | Беседа Знакомства |
| А вы? | და შენ? | da shen? | What about you? | - | Беседа Знакомства |
| Я тоже учусь | მეც ვსწავლობ | mets vsts'avlob | I'm learning too | - | Беседа Знакомства |
| У меня есть друг | მეგობარი მყავს | megobari mq'avs | I have a friend | - | Беседа Знакомства |
| Мой друг Виктор быстро изучает языки | ჩემი მეგობარი ვიქტორი სწრაფად სწავლობს ენებს | chemi megobari vikt'ori sts'rapad sts'avlobs enebs | My friend Victor quickly learns languages | - | Беседа Знакомства |
| Он уже говорит по-немецки и по-английски | ის უკვე ლაპარაკობს გერმანულ და ინგლისურ ენებზე | is uk've lap'arak'obs germanul da inglisur enebze | He already speaks German and English | - | Беседа Знакомства |
| Он один год жил в Латвии и хорошо говорит по-латышски | ის ერთი წელი ლატვიაში ცხოვრობდა და კარგად ლაპარაკობს ლატვიურად | is erti ts'eli lat'viashi tskhovrobda da k'argad lap'arak'obs lat'viurad | He lived in Latvia for one year and speaks Latvian well | - | Беседа Знакомства |
| Теперь мы вместе изучаем грузинский язык | ახლა ერთად ვსწავლობთ ქართულს | akhla ertad vsts'avlobt kartuls | Now we are studying the Georgian language together | - | Беседа Знакомства |
| Пока слабо знаю, но скоро лучше буду знать | ჯერ სუსტად ვიცი, მაგრამ მალე უკეთესია მეცოდინება | jer sust'ad vitsi, magram male uk'etesia metsodineba | I don’t know much yet, but soon I’ll know better | - | Беседа Знакомства |
| Английского я совсем не знал, но изучил за год | ინგლისური საერთოდ არ ვიცოდი, მაგრამ ერთ წელიწადში ვისწავლე | inglisuri saertod ar vitsodi, magram ert ts'elits'adshi vists'avle | I didn’t know English at all, but I learned it in a year | - | Беседа Знакомства |
| Я хорошо понимаю: чтобы изучить язык, надо много работать | კარგად მესმის: ენის შესასწავლად დიდი შრომაა საჭირო | k'argad mesmis: enis shesasts'avlad didi shromaa sach'iro | I understand well: to learn a language, you need to work hard | - | Беседа Знакомства |
| Если бы я знал, что грузинский язык так интересен, изучил бы раньше | რომ მცოდნოდა, რომ ქართული ასეთი საინტერესო იყო, უფრო ადრე ვისწავლიდი | rom mtsodnoda, kartuli ena aseti saint'ereso iq'o, upro adre shevists'avlidi | If I had known that the Georgian language was so interesting, I would have studied it earlier | - | Беседа Знакомства |
| Я уже знал, что глагол будет труднее | უკვე ვიცოდი, რომ ზმნა უფრო რთული იქნებოდა | uk've vitsodi, rom zmna upro rtuli ikneboda | I already knew that the verb would be more difficult | - | Беседа Знакомства |
| Но я не боюсь | მაგრამ არ მეშინია | magram ar meshinia | But I'm not afraid | - | Беседа Знакомства |
| Если буду работать систематически, то и это буду знать | თუ სისტემატურად ვიმუშავებ, მაშინ ამასაც გავიგებ | tu sist'emat'urad vimushaveb, mashin amasats gavigeb | If I work systematically, then I will know this too | - | Беседа Знакомства |
| Ваш товарищ откуда? | საიდან არის შენი მეგობარი? | saidan aris sheni megobari? | Where is your friend from? | - | Беседа Знакомства |
| Мой товарищ из Иркутска | ჩემი მეგობარი ირკუტსკიდან | chemi megobari irk'ut'sk'idan | My friend from Irkutsk | - | Беседа Знакомства |
| Как его фамилия? | რა გვარია მისი? | ra gvaria misi? | What's his last name? | - | Беседа Знакомства |
| Ему сколько лет? | რამდენი წლისაა? | ramdeni ts'lisaa? | How old is he? | - | Беседа Знакомства |
| Ранее я работал в судебном департаменте ИАЦ | ადრე ვმუშაობდი IAC-ის სასამართლო დეპარტამენტში | adre vmushaobdi IAC-is sasamartlo dep'art'ament'shi | Previously, I worked in the judicial department of the IAC | - | Беседа Расскажите о своем опыте |
| Я проработал там два года | იქ ორი წელიწადი ვიმუშავე | ik ori ts'elits'adi vimushave | I worked there for two years | - | Беседа Расскажите о своем опыте |
| В настоящее время я работаю в компании Т2 | ამჟამად მე ვმუშაობ კომპანია T2-ში | amzhamad me vmushaob k'omp'ania T2-shi | Currently I work at T2 company | - | Беседа Расскажите о своем опыте |
| Нравится ли вам ваша работа? | თუ მოგეწონთ თქვენი სამუშაო? | tu mogets'ont tkveni samushao? | Do you like your job? | - | Беседа Расскажите о своем опыте |
| Да, мне нравится моя работа | დიახ, მე მომწონს ჩემი სამუშაო | diakh, me momts'ons chemi samushao | Yes, I like my job | - | Беседа Расскажите о своем опыте |
| Мне нравится здесь работать и я работаю с удовольствием | აქ მუშაობა მომწონს და სიამოვნებით ვმუშაობ | ak mushaoba momts'ons da siamovnebit vmushaob | I like working here and I work with pleasure | - | Беседа Расскажите о своем опыте |
